rank,run_version,run_label,model_key,model_display_name,lmstudio_model_id,quantization,mmproj_quantization,architecture,records,completed,failed,avg_seconds,record_exact_match_accuracy,top_level_field_accuracy,item_field_accuracy,item_count_exact_accuracy,item_name_accuracy,item_quantity_accuracy,item_unit_price_accuracy,item_amount_accuracy,jomb_core_score_v1,jomb_core_score_v1_points
1,v0.3.1,operational 20-image refresh,gemma4_31b_qat_q4_0,Gemma 4 31B QAT Q4_0,google/gemma-4-31b-qat,Q4_0,unknown,gemma4,20,20,0,35.128,0.6,0.977273,0.997222,1.0,0.988889,1.0,1.0,1.0,0.9529,95.29
2,v0.3.0,5-model official baseline,gemma4_31b_q8_0,Gemma 4 31B Q8_0,google/gemma-4-31b,Q8_0,BF16,gemma4,20,20,0,53.195,0.6,0.979545,0.990278,1.0,0.988889,1.0,0.972222,1.0,0.950025,95.0
3,v0.3.1,operational 20-image refresh,gemma4_31b_q4_k_m_retest,Gemma 4 31B Q4_K_M retest,google/gemma-4-31b,Q4_K_M,unknown,gemma4,20,20,0,57.263,0.6,0.981818,0.9875,1.0,0.983333,0.994444,0.972222,1.0,0.9492,94.92
4,v0.3.0,5-model official baseline,qwen36_35b_a3b_q4_k_m,Qwen3.6 35B A3B Q4_K_M,qwen/qwen3.6-35b-a3b,Q4_K_M,BF16,qwen35moe,20,20,0,4.282,0.45,0.972727,0.995833,1.0,0.988889,0.994444,1.0,1.0,0.936098,93.61
5,v0.3.1,operational 20-image refresh,qwen36_27b_q8_0,Qwen3.6 27B Q8_0,qwen/qwen3.6-27b,Q8_0,unknown,qwen35,20,20,0,17.754,0.5,0.979545,0.876389,1.0,0.961111,0.772222,0.772222,1.0,0.8831,88.31
6,v0.3.0,5-model official baseline,qwen3_vl_30b_q4_k_m,Qwen3-VL 30B Q4_K_M,qwen/qwen3-vl-30b,Q4_K_M,F16,qwen3-vl-30b,20,20,0,3.248,0.05,0.943182,0.690278,1.0,0.938889,0.411111,0.411111,1.0,0.735935,73.59
7,v0.3.0,5-model official baseline,qwen25_vl_7b_q8_0,Qwen2.5-VL 7B Q8_0,qwen/qwen2.5-vl-7b,Q8_0,F16,qwen2vl,20,20,0,5.094,0.0,0.934091,0.652778,1.0,0.95,0.622222,0.044444,0.994444,0.709912,70.99
8,v0.3.1,operational 20-image refresh,gemma4_26b_a4b_qat_q4_0,Gemma 4 26B A4B QAT Q4_0,google/gemma-4-26b-a4b-qat,Q4_0,unknown,gemma4,20,17,3,15.236,0.2,0.797727,0.635621,0.7,0.6,0.857143,0.5,0.611111,0.6422,64.22
9,v0.3.0,5-model official baseline,internvl3_5_14b_q8_0,InternVL3.5 14B Q8_0,internvl3_5-14b,Q8_0,F16,qwen3,20,20,0,9.519,0.0,0.725,0.565672,0.65,0.544444,0.748387,0.316129,0.644444,0.561586,56.16
