clean_rank,noisy_rank,model_key,clean_core,noisy_core,clean_minus_noisy,quantization,clean_completed,noisy_completed,clean_avg_seconds,noisy_avg_seconds
1,3,qwen36_35b_a3b_q8_0,95.42,94.79,0.63,Q8_0,20/20,20/20,5.78,4.633
2,4,qwen36_35b_a3b_q4_k_m,94.86,93.61,1.25,Q4_K_M,20/20,20/20,5.149,4.282
3,2,gemma4_31b_q8_0,94.82,95.0,-0.18,Q8_0,20/20,20/20,55.076,53.195
4,5,qwen36_27b_q8_0,93.41,88.31,5.1,Q8_0,20/20,20/20,17.891,17.754
5,1,gemma4_31b_qat_q4_0,93.03,95.29,-2.26,Q4_0,20/20,20/20,35.239,35.128
6,6,qwen3_vl_30b_q4_k_m,75.38,73.59,1.79,Q4_K_M,20/20,20/20,2.539,3.248
7,9,internvl3_5_14b_q8_0,72.87,56.16,16.71,Q8_0,20/20,20/20,9.598,9.519
8,7,qwen25_vl_7b_q8_0,71.88,70.99,0.89,Q8_0,20/20,20/20,5.447,5.094
9,8,gemma4_26b_a4b_qat_q4_0,68.95,64.22,4.73,Q4_0,16/20,17/20,14.119,15.236
